Title,genre1,genre2,genre3,genre4,genre5,genre6
5-tobun no Hanayome,comedy,drama,harem,romace,school life,shounen
180 Byou de Kimi no Mimi wo Shiawase ni Dekuiru ka,slice of life,-,-,-,-,-
Aharen-san wa Hakarenai,comedy,romace,shounen,school life,-,-
Akame ga Kill,action,fantasy,shounen,assasins,dark fantasy,-
Akebi-chan no Serafuku,seinen,school life,-,-,-,-
Akiba Maid Sensou,action,maid,-,-,-,-
Akudama Drive,action,sci fi,crime,criminals,thriller,-
Angel Beats!,action,comedy,drama,afterlife,school life,supranatural
Another,horror,mystery,curse,psychological,school life,supernatural
Araburu Kisetsu no Otome-domo yo,comedy,drama,romace,shounen,school life,school club
Arifureta Shokugyo de Sekai Saikyo,action,adventure,ecchi,fantasy,"hare,",isekai
Arknights: Reimei Zensou,action,based on a mobile game,-,-,-,-
Asobi Asobase,comedy,school life,school club,all girls school,-,-
Bakku Sutorito Garuzu,comedy,ecchi,seinen,idols,yakuza,gender bender
Binbougami Ga!,comedy,shounen,gods,school life,parody,supernatural
Blend S,comedy,seinen,cafe,work life,otaku culture,maid
Boku no Hiro Akademia,action,comedy,drama,sci fi,shounen,superheroes
Corpse Party,horror,mystery,curse,supernatural,-,-
Chainsaw Man,action,fantasy,horror,shounen,dark fantasy,demons
Danjon ni Deai o Motomeru no wa Machigatteiru Doro ka,action,comedy,fantasy,harem,romance,dungeon
Danshi Kokosei no Nichijo,comedy,shounen,slice of life,school life,all boys school,-
Darwin Game,action,drama,sci fi,shounen,play or die,-
Dr.Stone,adventure,comedy,sci fi,shounen,survival,educational
Drifters,action,fantasy,seinen,historical,isekai,samurai
Enen no Shobotai,action,comedy,drama,ecchi,firefighters,shounen
Engage Kiss,action,comedy,romace,demons,island,possessive lovers
Eroge H mo Game mo Kaihatsu Zanmai,hentai,workplace,-,-,-,-
Fantaji Bishojo Juniku Ojisan to,adventure,action,fantasy,romance,curse,isekai
Futoku no Guild,action,adventure,ecchi,fantasy,shounen,monster
"Fuufu Ijou, Koibito Miman",drama,ecchi,romace,seinen,fake romance,school life
Fumetsu no Anata e,adventure,drama,fantasy,shounen,survival,-
"Gaikotsu Kishi-sama, Tadaima Isekai e Odekake-chu",action,adventure,fantasy,isekai,magic,monster
Ganbare Douki-chan,comedy,ecchi,romace,slice of life,work life,romantic comedy
Genjutsu Shugi Yuusha no Oukoku Saikenki,action,adventure,drama,fantasy,romace,isekai
Goburin Suraiya,action,adventure,fantasy,seinen,dark fantasy,magic
Gakushufudou,comedy,-,-,-,-,-
Hokozume - Kouban Joshi no Gyakushuu,comedy,slice of life,detective,workplace,-,-
Happi Shuga Raifu,drama,gl,horror,mystery,romance,shounen
Hataraku Saibo,action,comedy,shounen,educational,medical,-
Hinamatsuri,comedy,sci fi,seinen,slice of life,superpowers,yakuza
Honzuki no Gekokujo,drama,fantasy,cheats,economics,isekai,magic
Itai no wa Iya nano de Bougyortoku ni Kyokufuri Shitai to Omoimasu,action,adventure,comedy,fantasy,sci fi,mmorpg
Isekai Meikyuu de Harem wo,action,adventure,ecchi,fantasy,harem,romance
Isekai Ojisan,action,adventure,comedy,fantasy,isekai,magic
Isekai Yakkyoku,fantasy,isekai,magic,medical,-,-
Joker Game,mystery,espionage,historical,military,war,world war 2
Jujutsu Kaisen,action,horror,shounen,curse,exorcists,school life
Jimihen!! Jimiko wo Keachau Jun Isei Kouyuu!!,romance,hentai,coworkers,-,-,-
Kage no Jitsuryokusha ni Naritakute!,action,comedy,fantasy,isekai,magic,overpower
Kakushigoto,comedy,drama,shounen,slice of life,-,-
Kaede to Suzu,hentai,school life,-,-,-,-
Kaifuku Jutsushi no Yarinaoshi Sokushi Mahō to Sukiru Kopī no Chōetsu Hīru,erotica,adventure,drama,ecchi,fantasy,seinen
Kamisama ni Natta hi,comedy,drama,slice of life,supernatural,-,-
Kanojo mo Kanojo,comedy,romance,shounen,slice of life,school life,-
Kimetsu no Yaiba,action,adventure,shounen,demons,historical,supernatural
Kobayashi-san Chi no Maid Dragon,comedy,fantasy,seinen,slice of life,maid,reverse isekai
Koi wa Sekai Seifuku no Ato de,action,comedy,romance,shounen,superheroes,romantic comedy
"Komi-san wa, Comyushou desu",comedy,romance,shounen,school life,-,-
"Kono Healer, Mendokusai",adventure,comedy,fantasy,-,-,-
Kono Subarashii Sekai ni Shukufuku wo!,comedy,fantasy,gods,isekai,magic,rpg
Kono Yuusha ga Ore Tsue Kuse ni shincho Sugiru,action,adventure,comedy,fantasy,overpower,isekai
Koutetsujou no Kabaneri,action,drama,fantasy,horror,apocalupse,zombies
Kuzu no Honkai,drama,romance,seinen,fake romance,school life,love triangle
Kyokai no Kanata,action,drama,fantasy,magic,school life,-
Lycoris Recoil,action,comedy,slice of life,terrorism,-,-
Made in Abyss,adventure,drama,fantasy,mystery,sci fi,curse
Maho Tsukai no Yome,drama,fantasy,romance,magic,-,-
Mamahaha no Tsurego ga Motokano datta,comedy,romance,remerriage,school life,siblings,-
Maou Gakuin no Futekigousha,action,comedy,fantasy,demon king,magic,school life
Megami-ryou no Ryouba-kun,comedy,ecchi,harrem,romance,shounen,-
Meiruko-chan,comedy,horror,supernatural,school life,-,-
Mushoku Tensei - Isekai Ittara Honki Dasu,action,adventure,fantasy,isekai,magic,demons
Osake wa Fuufu ni Natte kara,comedy,romance,-,-,-,-
Ousama Ranking,action,adventure,fantasy,disability,-,-
Overflow,hentai,school life,-,-,-,-
Outbreak Company,comedy,fantasy,isekai,maid,otaku culture,-
Overlord,action,fantasy,isekai,magic,dark fantasy,rpg
Plastic Neesan,comedy,seinen,school club,school life,-,-
Prison school,comedy,ecchi,seinen,fetish,school life,prison
Psycho-Pass,sci fi,noir,police,-,-,-
Re-Zero kara Hajimeru Isekai seikatsu,comedy,fantasy,adventure,drama,dark fantasy,isekai
Rikei ga Koi ni Ochita no de Shomei Shite Mita,comedy,romance,seinen,college,educational,school life
Saikin Yotta Maid ga Ayashii,comedy,romance,slice of life,maid,mansion,-
Showtime! - Uta no Oneesan datte Shitai,hentai,erotica,ecchi,-,-,-
Sekai Saikou no Anatsusha. Isekai Kizoku ni Tensei suru,action,fantasy,assassins,dark fantasy,isekai,magic
Senpai ga Uzai Kouhau na Hanashi,comedy,romance,work life,salaryman,-,-
Servant x Service,comedy,romance,seinen,slice of life,work life,-
Shanchiku-san wa Yojo Yurei ni Iyasaretai,comedy,supernatural,workplace,work life,-,-
Shadow House,drama,horror,seinen,mansion,supernatural,-
Shelter,drama,sci fi,loneliness,-,-,-
Shingeki no Kyojin,action,fantasy,shoujo,dark fantasy,military,-
Shinigami Botchan to Kuro Meido,comedy,drama,ecchi,romance,-,-
Shinsekai Yori,adventure,drama,mystery,sci fi,psychic powers,thriller
Shomali to Moti no kamisama,adventure,drama,fantasy,mythology,-,-
Shumatsu no Harem,harem,hentai,erotica,ecchi,-,-
Shumatsu no Walkure,action,drama,seinen,gods,historical,tournaments
Sono Bisque Doll wa Koi wo Suru,comedy,ecchi,romance,seinen,school life,otaku culture
Soredemo Ayumu wa Yosetekuru,comedy,romance,shounen,school life,romantic comedy,-
Spy x Family,action,comedy,shounen,assasins,espionage,family life
Tate no Yusha no Nariagari,action,adventure,drama,fantasy,seinen,isekai
Tensei shitara Ken Deshita,action,adventure,fantasy,isekai,rpg,-
Tensei Shitara Slime Datta Ken,action,adventure,comedy,fantasy,shounen,isekai
Tokyo Magunichudo 8.0,drama,earthquake,survival,historical,-,-
Tokyo Revengers,action,drama,shounen,gangs,time travel,-
Tomodachi Gemu,drama,shounen,thriller,psychological,debt,-
Tonari no Seki-kun,comedy,seinen,school life,-,-,-
Tonikaku Kawaii,comedy,romance,shounen,married life,romantic comedy,-
Uzaki-chan wa Asobitai!,comedy,ecchi,romance,shounen,slice of life,college
Vinland Saga,action,seinen,historical,war,medieval,-
Vivi - Flourite Eye's Song,action,drama,sci fi,robots,time travel,-
Youkusoku no Neverland,fantasy,horror,mystery,sci fi,shounen,dark fantasy
Youjou Senki,action,fantasy,seinen,isekai,magic,military
"Yuusha Party wo Tsuihou sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau",action,adventure,fantasy,harem,romance,-
"Yuusha, Yamemasu - Tsugi no Shokuba wa Maoujou",action,adventure,comedy,fantasy,seinen,work life
Zankyou no Terror,action,drama,conspiracy,criminals,detectives,terrorism
Bocchi The Rock!,comedy,seinen,slice of life,loneliness,music,rock music
Jashin-chan Dropkick,comedy,supernatural,-,-,-,-
Re:Creators,action,fantasy,sci-fi,isekai,-,-
Jahy-sama wa Kujikenai!,isekai,comedy,supernatural,shounen,-,-
Gavriel DropOut,comedy,supernatural,school,shounen,-,-
NieR:Automata,action,fantasy,sci-fi,-,-,-
Kami-tachi ni Hirowareta Otoko,fantasy,isekai,reincarnation,slice of life,-,-
Isekai Nonbiri Nouka,fantasy,harem,isekai,reincarnation,-,-
Tensei Oujo to Tensai Reijou no Mahou Kakumei,comedy,fantasy,girls love,-,-,-
Oniichan wa Oshimai!,cgdct,comedy,school,-,-,-
Spy Kyoushitsu,action,comedy,harem,mystery,romance,-
Kubo-san wa Mob wo Yurusanai,comedy,romance,school,seinen,-,-
Poputepipikku,comedy,parody,-,-,-,-
Isekai Kita node Sukebe Skill de Zenryoku Ouka Shiyou to Omou The Animation,hentai,-,-,-,-,-
Saimin Seishidou,hentai,-,-,-,-,-